ts,vs_currency,total_value,bitcoin,ethereum
2025-10-06T15:21:41.500156+00:00,usd,17187.85,125088.000000,4679.050000
2025-10-06T15:25:26.807514+00:00,usd,17212.88,125253.000000,4687.580000
2025-10-07T05:15:15.414234+00:00,usd,23391.37,124527.000000,4712.320000
2025-10-07T05:15:22.749189+00:00,usd,22448.91,124527.000000,4712.320000
2025-10-07T05:15:29.880196+00:00,usd,18679.20,124528.000000,
2025-10-07T05:15:35.684473+00:00,usd,31132.00,124528.000000,
2025-10-07T10:45:30.892786+00:00,usd,31080.25,124321.000000,
2025-10-07T10:45:44.350965+00:00,usd,31091.25,124365.000000,
2025-10-07T10:45:59.035109+00:00,usd,31091.25,124365.000000,
2025-10-07T10:46:08.326851+00:00,usd,31091.25,124365.000000,
2025-10-07T10:46:30.185845+00:00,usd,31091.25,124365.000000,
